id,source_name,language,topic,claim_text,image_path,verdict_raw
1,local_manual_collection,English,sports,This image shows a player announcing a boycott ahead of a major African final.,data/african_validation_images/img_001.jpg,misinformation
2,local_manual_collection,English,community,This image shows emergency talks after a violent incident in the neighborhood.,data/african_validation_images/img_002.jpg,misinformation
3,local_manual_collection,English,livelihood,A person paddles a small wooden boat across shallow water.,data/african_validation_images/img_003.jpg,likely_consistent
4,local_manual_collection,English,coastal_life,This image shows survivors gathering on the shore after a boat carrying displaced families capsized offshore.,data/african_validation_images/img_004.jpg,misinformation
5,local_manual_collection,English,public_order,This image shows riot police marching after a security sweep in response to violent clashes downtown.,data/african_validation_images/img_005.jpg,misinformation
6,local_manual_collection,English,market,This image shows residents scrambling for food during a sudden supply crisis.,data/african_validation_images/img_006.jpg,misinformation
7,local_manual_collection,English,public_life,This image shows people running from a confrontation after security forces fired tear gas on the road.,data/african_validation_images/img_007.jpg,misinformation
8,local_manual_collection,English,sports,A football player in a bright green kit runs during a professional match.,data/african_validation_images/img_008.jpg,likely_consistent
9,local_manual_collection,English,public_expression,A woman wears a face covering with a protest message.,data/african_validation_images/img_009.jpg,likely_consistent
10,local_manual_collection,English,education,This image shows students sheltering after armed men forced a sudden school evacuation.,data/african_validation_images/img_010.jpg,misinformation
11,local_manual_collection,English,sports,This image shows a runner escaping tear gas during a crackdown on city-center protesters.,data/african_validation_images/img_011.jpg,misinformation
12,local_manual_collection,English,sports,This image shows cyclists racing through streets cleared after a violent security sweep.,data/african_validation_images/img_012.jpg,misinformation
13,local_manual_collection,English,sports,This image shows a star player refusing to play after a federation dispute today.,data/african_validation_images/img_013.jpg,misinformation
14,local_manual_collection,English,education,This image shows students waiting at a temporary displacement center after an attack on their campus.,data/african_validation_images/img_014.jpg,misinformation
15,local_manual_collection,English,portrait,This image shows a political leader speaking after declaring a national emergency.,data/african_validation_images/img_015.jpg,misinformation
16,local_manual_collection,English,culture,Women perform a traditional dance during a community event.,data/african_validation_images/img_016.jpg,likely_consistent
17,local_manual_collection,English,training,Young adults sit at tables and work on laptops during a digital training session.,data/african_validation_images/img_017.jpg,likely_consistent
18,local_manual_collection,English,indoor_scene,This image shows a house fire breaking out during a neighborhood blackout.,data/african_validation_images/img_018.jpg,misinformation
19,local_manual_collection,English,portrait,A man and a woman pose together for a portrait photo.,data/african_validation_images/img_019.jpg,likely_consistent
20,local_manual_collection,English,sports,A group in red sportswear poses on a basketball court.,data/african_validation_images/img_020.jpg,likely_consistent
21,local_manual_collection,English,archival,An old black-and-white photo shows a small group standing outdoors.,data/african_validation_images/img_021.jpg,likely_consistent
22,local_manual_collection,English,community,This image shows families sheltering after schools were closed due to insecurity.,data/african_validation_images/img_022.jpg,misinformation
23,local_manual_collection,English,sports,People play a ball game on a reddish dirt field.,data/african_validation_images/img_023.jpg,likely_consistent
24,local_manual_collection,English,community,Children and adults gather and dance at night in a community setting.,data/african_validation_images/img_024.jpg,likely_consistent
25,local_manual_collection,English,community,This image shows a spontaneous gathering after authorities imposed emergency restrictions.,data/african_validation_images/img_025.jpg,misinformation
26,local_manual_collection,English,health,A clinician examines a patient using eye equipment in a clinic.,data/african_validation_images/img_026.jpg,likely_consistent
